"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid"
"SKA3",47.2722095483368,2.71669851764358,0.304198329264258,1.95447965321617e-20,2.34943143058789e-19,"221150"
"CTLA4",61.9800736127681,3.81559344473429,0.421586505111296,2.0194939906233e-20,2.42214967549129e-19,"1493"
"RAP1GDS1",800.744664641841,1.09009171879595,0.118891795094036,2.08337994914228e-20,2.49458561172997e-19,"5910"
"EVI2B",1316.30598939539,1.86233909873839,0.205999282298544,2.09852867515856e-20,2.50991992715811e-19,"2124"
"LOC100505812",239.275877641639,1.41436848823619,0.156133291068719,2.12568479572882e-20,2.53673731775366e-19,NA
"BORA",141.513458289836,1.54245614882639,0.16955418790347,2.2615203095023e-20,2.69284248853127e-19,"79866"
"ATG4A",317.984703744687,1.19631931187388,0.130388977623781,2.45836876694687e-20,2.91267096638874e-19,"115201"
"SLC38A1",1598.8334671661,1.93283803057305,0.214312495242034,2.5273811081829e-20,2.99112972345026e-19,"81539"
"FCRLA",86.8489335650715,4.87699152358804,0.54620852178448,2.53078582771482e-20,2.99350621663421e-19,"84824"
"SMCHD1",4739.85930320133,1.34047623033393,0.147372309333485,2.68857487794601e-20,3.16616622851741e-19,"23347"
"HIST1H2AB",78.1620723227593,2.76609389570021,0.31478667324469,2.91153683315502e-20,3.42685167188422e-19,NA
"SLC35F2",225.159998907208,1.68194195613017,0.185528461164576,3.09228548457909e-20,3.62565398200129e-19,"54733"
"ERO1L",1362.36480925073,1.47434943247434,0.162857384023912,3.1054981461488e-20,3.63767195404049e-19,NA
"JAK2",2742.43466890579,1.2112492615039,0.133040830781342,3.13792245894579e-20,3.67225353203359e-19,"3717"
"HIST1H2AG",308.097824175686,2.5036574886986,0.281598273409636,3.16004879405707e-20,3.694998679925e-19,NA
"RPP40",51.8710252094225,1.71232078565479,0.186874005183973,3.37935289514747e-20,3.94067848757866e-19,"10799"
"ATG3",937.485091694842,1.22634051894286,0.13257052713806,3.44128175616826e-20,4.00417979804312e-19,"64422"
"CXCR6",70.8474103083204,3.5567167897486,0.396142030058953,3.43969307352244e-20,4.00417979804312e-19,"10663"
"CD58",772.502232309216,1.52619468538802,0.168637366625986,3.45859600335734e-20,4.02214260119142e-19,"965"
"N4BP2",1561.68520957725,1.0535212169941,0.115489833747185,3.5795406486818e-20,4.15377881554938e-19,"55728"
"OSTC",1599.01824769398,1.53848584960762,0.170825925261263,3.95571901971518e-20,4.56312840417413e-19,"58505"
"CLEC2B",657.179793075848,1.71376780178979,0.192611398147384,4.16081664217496e-20,4.78170418722445e-19,"9976"
"KCNA3",356.087449559419,3.12467708725313,0.3536828744447,4.1660212775083e-20,4.78511972351744e-19,"3738"
"SEC24A",1959.91228486527,1.20834791279299,0.133320110467611,4.35049403847782e-20,4.98631757896765e-19,"10802"
"HELLS",226.104783734437,1.56672564532435,0.174245614442751,4.46848102026658e-20,5.11607658693235e-19,"3070"
"PDCD10",771.826794662154,1.26132230512301,0.139122035072291,4.5064918251864e-20,5.15134076209174e-19,"11235"
"SULT1B1",21.8245734553372,3.94226537656661,0.453733265207696,4.61995635835447e-20,5.26699599088359e-19,"27284"
"ACTR3",5937.06062820203,1.07773841366262,0.118796837631442,4.62465933012369e-20,5.26955467424461e-19,"10096"
"GTF2B",630.578458279564,1.28778940357584,0.14270975336386,4.92634114926032e-20,5.57772159810335e-19,"2959"
"SRP19",457.502290791851,1.09696513342696,0.121216785555263,5.46944421879099e-20,6.16982094428144e-19,"6728"
